,Year,Brand,Model,Driven_Kms,Fuel_Type,Transmission_Type,Features,City,Price(L),EMI(month)
618,2014,Honda,City 1.5L I-DTEC SV,94091,Diesel,Manual,Regularly Serviced,Mumbai,4.66,"12,272"
619,2019,Tata,Tiago XZA PETROL,30302,Petrol,Automatic,Top Model,Mumbai,4.91,"9,599"
620,2017,Maruti,Baleno ZETA CVT PETROL 1.2,77562,Petrol,Automatic,Alloy Wheels,Mumbai,5.55,"10,850"
621,2015,Maruti,Wagon R 1.0 LXI CNG,78586,CNG,Manual,Low Run Cost,Mumbai,3.38,"8,901"
622,2018,Jeep,Compass LIMITED (O) 1.4 PETROL AT,82744,Petrol,Automatic,Top Model,Mumbai,11.44,"21,775"
623,2022,Tata,ALTROZ XZA PLUS,2973,Petrol,Automatic,Alloy Wheels,Mumbai,9.75,"18,558"
624,2016,Mahindra,XUV500 W10 AT,60456,Diesel,Automatic,Sunroof,Mumbai,9.36,"17,816"
625,2022,MG,HECTOR SHARP 2.0 DIESEL,23375,Diesel,Manual,Top Model,Mumbai,17.11,"32,567"
626,2017,Maruti,Baleno ALPHA PETROL 1.2,67369,Petrol,Manual,Top Model,Mumbai,5.00,"9,775"
627,2014,Maruti,Celerio VXI CNG,74902,CNG,Manual,Low Run Cost,Mumbai,3.41,"11,336"
628,2017,Maruti,IGNIS SIGMA 1.2,27267,Petrol,Manual,Regularly Serviced,Mumbai,4.21,"8,221"
629,2018,Maruti,Baleno ZETA CVT PETROL 1.2,29002,Petrol,Automatic,Alloy Wheels,Mumbai,5.86,"11,456"
630,2022,Maruti,BREZZA ZXI SMART HYBRID DUAL TONE,11537,Petrol,Manual,Top Model,Mumbai,11.85,"22,555"
631,2022,Tata,Tiago XZ PLUS PETROL,592,Petrol,Manual,Alloy Wheels,Mumbai,6.20,"12,111"
632,2017,Maruti,IGNIS DELTA 1.2,56219,CNG,Manual,100% Tyre Life,Mumbai,4.68,"9,149"
633,2020,Volkswagen,Polo COMFORTLINE PLUS 1.0L MPI,45029,Petrol,Manual,100% Tyre Life,Mumbai,6.30,"12,317"
634,2021,Honda,Amaze 1.2L I-VTEC V CVT,18288,Petrol,Automatic,Alloy Wheels,Mumbai,7.76,"15,171"
635,2018,Hyundai,Creta SX AT 1.6 DIESEL,107583,Diesel,Automatic,Top Model,Mumbai,10.84,"23,569"
636,2013,Volkswagen,Polo COMFORTLINE 1.2L PETROL,61568,Petrol,Manual,Regularly Serviced,Mumbai,3.23,"8,506"
637,2015,Maruti,Ciaz ZDI SHVS,76403,Diesel,Manual,Top Model,Mumbai,5.37,"11,945"
638,2013,Maruti,Alto 800 LXI CNG,56850,CNG,Manual,100% Tyre Life,Mumbai,2.14,"10,074"
639,2022,Toyota,URBAN CRUISER PREMIUM GRADE AT,31043,Petrol,Automatic,Top Model,Mumbai,10.23,"19,472"
640,2019,Honda,Jazz 1.2L I-VTEC VX CVT,47875,Petrol,Automatic,Alloy Wheels,Mumbai,6.02,"11,769"
641,2016,Maruti,Ertiga VDI SHVS,68200,Diesel,Manual,100% Tyre Life,Mumbai,7.43,"14,526"
642,2018,Maruti,Ciaz ZETA 1.4  AT PETROL,53796,Petrol,Automatic,Alloy Wheels,Mumbai,6.64,"12,981"
643,2014,Hyundai,Verna FLUIDIC 1.6 VTVT SX,65104,Petrol,Manual,Top Model,Mumbai,4.55,"10,121"
644,2015,Maruti,Swift ZDI,108230,Diesel,Manual,Top Model,Mumbai,4.88,"10,855"
645,2023,Tata,TIGOR XZA PLUS PETROL,8683,Petrol,Automatic,Alloy Wheels,Mumbai,7.45,"14,565"
646,2018,Tata,TIGOR XZA PETROL,48115,Petrol,Automatic,Top Model,Mumbai,4.94,"9,658"
647,2019,Hyundai,Creta SX AT 1.6 PETROL,27487,Petrol,Automatic,Top Model,Mumbai,11.43,"21,756"
648,2013,Renault,Duster 110 PS RXZ DIESEL,122814,Diesel,Manual,Spl. Reg. No.,Mumbai,3.63,"12,057"
649,2016,Renault,Kwid RXT 1.0,26605,Petrol,Manual,Top Model,Mumbai,3.02,"5,904"
650,2021,Maruti,New Wagon-R VXI (O) 1.2,19528,Petrol,Manual,Safety Specs.,Mumbai,5.56,"10,870"
651,2017,Volkswagen,Ameo HIGHLINE1.2L PLUS 16 ALLOY,47924,Petrol,Manual,Top Model,Mumbai,4.80,"9,384"
652,2017,Honda,City 1.5L I-VTEC SV,99109,Petrol,Manual,,Mumbai,5.11,"9,990"
653,2014,Honda,Amaze 1.2L I-VTEC S,27655,Petrol,Manual,Regularly Serviced,Mumbai,3.73,"8,302"
654,2016,Maruti,Celerio VXI CNG,91598,CNG,Manual,Low Run Cost,Mumbai,3.68,"8,177"
655,2019,Tata,Tiago XZA PETROL,23892,Petrol,Automatic,Top Model,Mumbai,5.38,"10,518"
656,2016,Maruti,Ciaz VXI,51282,Petrol,Manual,Regularly Serviced,Mumbai,5.25,"10,264"
657,2019,Maruti,Ciaz DELTA 1.5 SHVS MT PETROL,11136,Petrol,Manual,Alloy Wheels,Mumbai,7.69,"15,034"
658,2016,Maruti,Celerio VXI,82960,Petrol,Manual,100% Tyre Life,Mumbai,3.53,"6,901"
659,2018,Honda,Jazz 1.2L I-VTEC VX,26068,Petrol,Manual,Alloy Wheels,Mumbai,4.89,"9,560"
660,2022,KIA,SELTOS HTK PLUS 1.5 IMT,15485,Petrol,Manual,Regularly Serviced,Mumbai,12.35,"23,507"
661,2016,Maruti,Baleno DELTA PETROL 1.2,39164,Petrol,Manual,Regularly Serviced,Mumbai,4.86,"9,501"
662,2014,Maruti,Swift VXI,69220,Petrol,Manual,City Driven,Mumbai,3.70,"8,230"
663,2018,Maruti,Alto K10 VXI,26621,Petrol,Manual,Top Model,Mumbai,3.46,"6,764"
664,2015,Maruti,Celerio VXI AMT,121803,Petrol,Automatic,Regularly Serviced,Mumbai,3.20,"7,118"
665,2017,Maruti,Dzire VXI,65727,Petrol,Manual,Regularly Serviced,Mumbai,5.34,"10,449"
666,2012,Volkswagen,Vento HIGHLINE 1.6 MPI,62138,Petrol,Manual,Top Model,Mumbai,3.32,"11,027"
667,2011,Hyundai,i20 ASTA 1.2,31565,Petrol,Manual,Alloy Wheels,Mumbai,2.61,"12,286"
668,2017,Renault,Kwid RXT 1.0 AMT (O),16343,Petrol,Automatic,Top Model,Mumbai,3.45,"6,745"
669,2012,Maruti,Wagon R 1.0 VXI,42314,Petrol,Manual,Top Model,Mumbai,2.41,"8,005"
670,2018,Maruti,Dzire VXI AMT,24209,Petrol,Automatic,Regularly Serviced,Mumbai,6.20,"12,121"
671,2017,Ford,Ecosport TITANIUM + 1.5L PETROL AT,22256,Petrol,Automatic,Less Driven,Mumbai,7.38,"14,418"
672,2017,Ford,Ecosport TITANIUM + 1.5L PETROL AT,50426,Petrol,Automatic,Top Model,Mumbai,6.99,"13,666"
673,2022,Volkswagen,TAIGUN GT PLUS 1.5 TSI DSG,31121,Petrol,Automatic,Spl. Reg. No.,Mumbai,15.84,"30,150"
674,2022,Maruti,IGNIS ZETA 1.2 AMT,22649,Petrol,Automatic,Alloy Wheels,Mumbai,6.31,"12,336"
675,2017,Maruti,IGNIS DELTA 1.2 AMT,26630,Petrol,Automatic,Regularly Serviced,Mumbai,4.49,"8,778"
676,2012,Maruti,Swift VXI,52106,Petrol,Manual,City Driven,Mumbai,3.26,"10,828"
677,2018,Tata,NEXON XZA PLUS DIESEL,106510,Diesel,Automatic,Top Model,Mumbai,7.35,"16,345"
678,2016,Volkswagen,Ameo HIGHLINE1.2L,35143,Petrol,Manual,Top Model,Mumbai,5.51,"10,772"
679,2022,Renault,TRIBER RXT AMT,4266,Petrol,Automatic,Regularly Serviced,Mumbai,7.22,"14,115"
680,2012,Honda,Brio S MT,31461,Petrol,Manual,Regularly Serviced,Mumbai,2.58,"8,576"
681,2020,Renault,TRIBER RXT AMT,14619,Petrol,Automatic,Regularly Serviced,Mumbai,6.23,"12,180"
682,2013,Maruti,Ertiga ZXI,72826,Petrol,Manual,Top Model,Mumbai,5.40,"14,220"
683,2018,Mahindra,XUV500 W11,119911,Diesel,Manual,Top Model,Mumbai,10.68,"23,225"
684,2019,Honda,City 1.5L I-VTEC VX CVT,39138,Petrol,Automatic,Sunroof,Mumbai,8.49,"16,160"
685,2011,Hyundai,i10 MAGNA 1.1,79115,Petrol,Manual,100% Tyre Life,Mumbai,2.12,"9,980"
686,2017,Maruti,Dzire VDI AMT,36258,Diesel,Automatic,Regularly Serviced,Mumbai,6.68,"13,060"
687,2021,Maruti,Celerio ZXI (O),22897,Petrol,Manual,Top Model,Mumbai,5.33,"10,420"
688,2020,Hyundai,AURA S 1.2 CNG,74324,CNG,Manual,Regularly Serviced,Mumbai,6.74,"13,177"
689,2016,Honda,City 1.5L I-VTEC VX CVT,92419,Petrol,Automatic,Sunroof,Mumbai,6.03,"11,789"
690,2017,Toyota,Corolla Altis VL CVT PETROL,56356,Petrol,Automatic,Alloy Wheels,Mumbai,10.80,"20,551"
691,2017,Honda,City 1.5L I-VTEC VX,39331,Petrol,Manual,Spl. Reg. No.,Mumbai,7.34,"14,350"
692,2023,Maruti,BREZZA ZXI SMART HYBRID ,10117,Petrol,Manual,Sunroof,Mumbai,12.90,"24,554"
693,2014,Maruti,Ciaz VDI,60741,Diesel,Manual,City Driven,Mumbai,5.51,"14,510"
694,2016,Volkswagen,Ameo COMFORTLINE 1.2L,69347,Petrol,Manual,Regularly Serviced,Mumbai,4.10,"8,016"
695,2021,MG,HECTOR SHARP 1.5 DCT PETROL,20465,Petrol,Automatic,Top Model,Mumbai,15.55,"29,598"
696,2014,Hyundai,Elite i20 SPORTZ 1.2,44599,Petrol,Manual,Safety Specs.,Mumbai,4.10,"9,120"
697,2020,Maruti,Celerio VXI (O) CNG,27341,CNG,Manual,Regularly Serviced,Mumbai,5.34,"10,440"
698,2023,Maruti,New Wagon-R LXI 1.0,1958,Petrol,Manual,Regularly Serviced,Mumbai,6.56,"12,825"
699,2018,Ford,Ecosport TREND 1.5L DIESEL,87593,Diesel,Manual,Regularly Serviced,Mumbai,7.47,"14,604"
700,2016,Hyundai,Creta SX PLUS 1.6 PETROL,57658,Petrol,Manual,Spl. Reg. No.,Mumbai,7.61,"14,878"
701,2019,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT DUAL TONE,12728,Petrol,Manual,Regularly Serviced,Mumbai,5.18,"10,127"
702,2018,Hyundai,Verna 1.6 VTVT SX (O) AT,63886,Petrol,Automatic,Top Model,Mumbai,8.71,"16,575"
703,2019,Maruti,New Wagon-R LXI CNG 1.0,66502,CNG,Manual,Low Run Cost,Mumbai,5.06,"9,892"
704,2017,Maruti,Dzire VXI AMT,36163,Petrol,Automatic,Regularly Serviced,Mumbai,5.53,"10,811"
705,2017,Maruti,Ciaz SIGMA 1.4 MT PETROL,75480,Petrol,Manual,Regularly Serviced,Mumbai,5.55,"10,850"
706,2021,Maruti,Ciaz ALPHA 1.5 SHVS PETROL,30199,Petrol,Manual,Alloy Wheels,Mumbai,8.67,"16,503"
707,2014,Maruti,Swift Dzire ZDI,114899,Diesel,Manual,Top Model,Mumbai,5.16,"13,588"
708,2017,Volkswagen,Polo GT TSI AT,61385,Petrol,Automatic,Alloy Wheels,Mumbai,7.04,"13,763"
709,2019,Maruti,Baleno DELTA CVT PETROL 1.2,44845,Petrol,Automatic,100% Tyre Life,Mumbai,6.10,"11,926"
710,2015,Hyundai,Xcent SX 1.2,64152,Petrol,Manual,Top Model,Mumbai,4.22,"8,250"
711,2020,Maruti,Baleno ZETA PETROL 1.2,14523,Petrol,Manual,Alloy Wheels,Mumbai,6.70,"13,099"
712,2012,Maruti,Swift VDI,94283,Diesel,Manual,Spl. Reg. No.,Mumbai,3.68,"17,323"
713,2014,Hyundai,i10 SPORTZ 1.1,49792,CNG,Manual,100% Tyre Life,Mumbai,3.05,"10,130"
714,2016,Hyundai,Grand i10 ASTA 1.2 KAPPA VTVT,60480,Petrol,Manual,Top Model,Mumbai,3.98,"7,781"
715,2011,Toyota,Corolla Altis G PETROL,86568,Petrol,Manual,City Driven,Mumbai,3.08,"14,499"
716,2020,Honda,City 1.5L I-VTEC ZX,44722,Petrol,Manual,Top Model,Mumbai,9.81,"18,672"
717,2020,Maruti,IGNIS ALPHA 1.2,20435,Petrol,Manual,Top Model,Mumbai,6.17,"12,059"
718,2017,Maruti,Alto 800 VXI,38084,Petrol,Manual,Top Model,Mumbai,2.82,"5,513"
719,2018,Ford,Ecosport TITANIUM 1.5L DIESEL,97044,Diesel,Manual,Top Model,Mumbai,6.89,"13,470"
720,2018,Maruti,Baleno ALPHA CVT PETROL 1.2,33155,Petrol,Automatic,Top Model,Mumbai,6.62,"12,942"
721,2019,Hyundai,Creta SX 1.6 PETROL,60460,Petrol,Manual,Top Model,Mumbai,9.19,"17,492"
722,2021,Maruti,New Wagon-R ZXI 1.2 AMT,8817,Petrol,Automatic,Regularly Serviced,Mumbai,5.97,"11,671"
723,2013,Maruti,Wagon R Stingray VXI,35954,Petrol,Manual,Top Model,Mumbai,3.34,"8,796"
724,2015,Honda,City 1.5L I-VTEC VX CVT,57175,Petrol,Automatic,Sunroof,Mumbai,5.80,"11,339"
725,2014,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,58927,Petrol,Manual,100% Tyre Life,Mumbai,3.11,"6,922"
726,2017,Maruti,Baleno DELTA PETROL 1.2,57555,Petrol,Manual,Regularly Serviced,Mumbai,5.02,"9,814"
727,2016,Hyundai,Elite i20 SPORTZ 1.2,52544,Petrol,Manual,Regularly Serviced,Mumbai,4.77,"9,325"
728,2017,Honda,City 1.5L I-VTE V CVT,42660,Petrol,Automatic,Alloy Wheels,Mumbai,7.65,"14,956"
729,2021,Tata,Tiago XZA PLUS PETROL,20958,Petrol,Automatic,Alloy Wheels,Mumbai,6.58,"12,864"
730,2019,Tata,Tiago XZ PLUS PETROL,13435,Petrol,Manual,Alloy Wheels,Mumbai,5.24,"10,244"
731,2019,Ford,Ecosport TITANIUM + 1.5L PETROL AT,64939,Petrol,Automatic,Top Model,Mumbai,7.92,"15,478"
732,2018,Hyundai,Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT,23569,Petrol,Automatic,Alloy Wheels,Mumbai,5.28,"10,326"
733,2020,Maruti,New Wagon-R ZXI 1.2 AMT,24495,Petrol,Automatic,Regularly Serviced,Mumbai,5.78,"11,300"
734,2015,Volkswagen,Vento HIGHLINE PETROL AT,47698,Petrol,Automatic,Top Model,Mumbai,4.56,"8,915"
735,2013,Hyundai,i20 MAGNA (O) 1.2,96626,Petrol,Manual,100% Tyre Life,Mumbai,3.14,"8,269"
736,2019,Mahindra,XUV300 W8 1.5 DIESEL,51525,Diesel,Manual,Top Model,Mumbai,9.11,"17,340"
737,2017,Tata,NEXON XZ PLUS PETROL,37976,Petrol,Manual,Alloy Wheels,Mumbai,6.98,"13,646"
738,2018,Maruti,Ciaz ZETA 1.5 SHVS MT PETROL,15940,Petrol,Manual,Alloy Wheels,Mumbai,7.56,"14,780"
739,2018,Maruti,Dzire ZXI PLUS AMT,57651,Petrol,Automatic,Top Model,Mumbai,6.34,"12,389"
740,2017,Maruti,Dzire ZXI AMT,78482,Petrol,Automatic,Top Model,Mumbai,5.64,"11,026"
741,2019,Tata,TIGOR XZ PLUS PETROL,87229,Petrol,Manual,Alloy Wheels,Mumbai,5.18,"10,121"
742,2016,Maruti,Alto 800 VXI,16974,Petrol,Manual,Regularly Serviced,Mumbai,2.74,"5,357"
743,2016,Honda,City 1.5L I-VTEC V MT,35695,Petrol,Manual,Alloy Wheels,Mumbai,5.80,"11,339"
744,2018,Tata,Tiago XZ PETROL,90317,Petrol,Manual,Alloy Wheels,Mumbai,4.45,"8,700"
745,2014,Hyundai,Elite i20 SPORTZ 1.2,58215,Petrol,Manual,Regularly Serviced,Mumbai,4.58,"10,188"
746,2021,Maruti,New Wagon-R LXI CNG (O) 1.0,13333,CNG,Manual,Regularly Serviced,Mumbai,5.93,"11,593"
747,2014,Hyundai,Grand i10 ASTA 1.2 KAPPA VTVT,74933,Petrol,Manual,Top Model,Mumbai,3.56,"7,919"
748,2017,Mahindra,XUV500 W10 AT,84731,Diesel,Automatic,Sunroof,Mumbai,10.58,"20,138"
749,2017,Maruti,Baleno ZETA PETROL 1.2,53969,Petrol,Manual,Alloy Wheels,Mumbai,5.39,"10,538"
750,2019,Hyundai,NEW SANTRO SPORTZ AMT,32481,Petrol,Automatic,Regularly Serviced,Mumbai,4.56,"8,915"
751,2015,Honda,City 1.5L I-VTEC SV CVT,52136,Petrol,Automatic,Safety Specs.,Mumbai,5.07,"9,912"
752,2016,Hyundai,Elite i20 SPORTZ 1.2,73601,Petrol,Manual,Safety Specs.,Mumbai,4.64,"9,071"
753,2018,Honda,Amaze 1.2L I-VTEC V CVT,66032,Petrol,Automatic,Spl. Reg. No.,Mumbai,6.19,"12,102"
754,2014,Hyundai,Elite i20 SPORTZ 1.2,30198,Petrol,Manual,Regularly Serviced,Mumbai,4.87,"10,833"
755,2022,Renault,Kwid RXT 1.0,7836,Petrol,Manual,Regularly Serviced,Mumbai,4.89,"9,560"
756,2023,Maruti,Dzire ZXI Plus AMT,12473,Petrol,Automatic,Alloy Wheels,Mumbai,8.91,"16,969"
757,2021,Maruti,New Wagon-R ZXI 1.2 AMT,23662,Petrol,Automatic,Regularly Serviced,Mumbai,5.60,"10,948"
758,2014,Maruti,Alto 800 LXI CNG,49873,CNG,Manual,100% Tyre Life,Mumbai,2.43,"8,071"
759,2016,Hyundai,Creta SX PLUS AT 1.6 PETROL,73228,Petrol,Automatic,Top Model,Mumbai,8.22,"15,642"
760,2021,Mahindra,XUV300 W6 1.5 DIESEL AMT,38402,Diesel,Automatic,Regularly Serviced,Mumbai,9.59,"18,254"
761,2019,MG,HECTOR SHARP 1.5 DCT PETROL,24656,Petrol,Automatic,Spl. Reg. No.,Mumbai,15.27,"29,065"
762,2015,Honda,Jazz 1.2L I-VTEC V AT,38020,Petrol,Automatic,Alloy Wheels,Mumbai,5.07,"9,912"
763,2021,Maruti,Ciaz DELTA AT 1.5 SHVS PETROL,3581,Petrol,Automatic,Alloy Wheels,Mumbai,9.48,"18,044"
764,2013,Hyundai,i10 MAGNA 1.1,47502,Petrol,Manual,City Driven,Mumbai,2.81,"7,400"
765,2022,Tata,Tiago XT CNG,15656,CNG,Manual,Regularly Serviced,Mumbai,6.28,"12,278"
766,2011,Toyota,Etios Liva G,77595,Petrol,Manual,City Driven,Mumbai,2.60,"12,239"
767,2016,Hyundai,Elite i20 SPORTZ 1.2,97623,Petrol,Manual,Regularly Serviced,Mumbai,5.10,"9,971"
768,2017,Hyundai,Creta SX PLUS AT 1.6 PETROL,90305,Petrol,Automatic,Top Model,Mumbai,8.70,"16,560"
769,2015,Maruti,Celerio ZXI AMT,32818,Petrol,Automatic,Top Model,Mumbai,3.40,"6,647"
770,2015,Honda,City 1.5L I-VTEC VX CVT,68912,Petrol,Automatic,Sunroof,Mumbai,5.50,"10,753"
771,2011,Toyota,Etios G,39136,Petrol,Manual,Regularly Serviced,Mumbai,2.97,"13,981"
772,2018,Maruti,Dzire VXI AMT,26386,Petrol,Automatic,Regularly Serviced,Mumbai,6.19,"12,102"
773,2015,Hyundai,Elite i20 SPORTZ 1.2,30036,Petrol,Manual,Safety Specs.,Mumbai,4.52,"8,837"
774,2020,Renault,Kwid CLIMBER 1.0 AMT (O),13976,Petrol,Automatic,Regularly Serviced,Mumbai,4.76,"9,306"
775,2018,Maruti,Baleno ALPHA CVT PETROL 1.2,56905,Petrol,Automatic,Spl. Reg. No.,Mumbai,5.95,"11,632"
776,2015,Hyundai,Elite i20 ASTA 1.2,76975,Petrol,Manual,Top Model,Mumbai,4.74,"9,267"
777,2016,Maruti,Alto 800 LXI,45935,Petrol,Manual,100% Tyre Life,Mumbai,2.73,"5,337"
778,2015,Maruti,Ciaz VXI+,34355,Petrol,Manual,Safety Specs.,Mumbai,5.48,"10,714"
779,2017,Maruti,Celerio VXI,34454,Petrol,Manual,100% Tyre Life,Mumbai,4.07,"7,957"
780,2017,Maruti,IGNIS DELTA 1.2,30176,Petrol,Manual,Regularly Serviced,Mumbai,4.86,"9,501"
781,2018,Toyota,Corolla Altis VL CVT PETROL,74214,Petrol,Automatic,Alloy Wheels,Mumbai,10.22,"19,453"
782,2017,Toyota,Corolla Altis VL CVT PETROL,61520,Petrol,Automatic,Alloy Wheels,Mumbai,10.91,"20,766"
783,2019,Tata,NEXON XZA PLUS PETROL,18707,Petrol,Automatic,Top Model,Mumbai,9.16,"17,435"
784,2017,Maruti,Baleno ZETA PETROL 1.2,11771,Petrol,Manual,Alloy Wheels,Mumbai,5.86,"11,456"
785,2019,Maruti,S Cross ZETA 1.3,60610,Diesel,Manual,Alloy Wheels,Mumbai,8.58,"16,331"
786,2016,Maruti,Celerio ZXI,33554,Petrol,Manual,Top Model,Mumbai,4.15,"8,113"
787,2014,Hyundai,Elite i20 SPORTZ 1.2,55182,Petrol,Manual,100% Tyre Life,Mumbai,4.79,"10,655"
788,2019,Renault,TRIBER RXZ,56210,Petrol,Manual,Top Model,Mumbai,6.70,"13,099"
789,2022,Tata,TIGOR XZ PLUS CNG,18323,CNG,Manual,Regularly Serviced,Mumbai,7.91,"15,464"
790,2019,Tata,Tiago XZA PLUS PETROL,18218,Petrol,Automatic,Top Model,Mumbai,6.02,"11,769"
791,2013,Maruti,Swift Dzire VXI REGAL EDITION,53416,Petrol,Manual,Regularly Serviced,Mumbai,3.72,"9,796"
792,2019,Hyundai,NEW SANTRO SPORTZ MT,32397,Petrol,Manual,City Driven,Mumbai,4.47,"8,739"
793,2017,Honda,City 1.5L I-VTE V CVT,99738,Petrol,Automatic,Alloy Wheels,Mumbai,7.54,"14,741"
794,2017,Honda,City 1.5L I-VTEC VX,50001,Petrol,Manual,Sunroof,Mumbai,7.38,"14,428"
795,2020,Maruti,New Wagon-R LXI CNG 1.0,12772,CNG,Manual,Regularly Serviced,Mumbai,5.79,"11,327"
796,2021,Mahindra,XUV300 W6 1.2 PETROL AMT,17985,Petrol,Automatic,Spl. Reg. No.,Mumbai,9.44,"17,968"
797,2019,Toyota,Glanza G CVT,16870,Petrol,Automatic,Alloy Wheels,Mumbai,7.21,"14,096"
798,2017,Honda,WR-V 1.2L I-VTEC VX MT,23037,Petrol,Manual,Top Model,Mumbai,6.81,"13,314"
799,2017,Hyundai,Creta E PLUS 1.6 PETROL,89434,Petrol,Manual,Safety Specs.,Mumbai,7.55,"14,760"
800,2012,Honda,Brio S(O) MT,28025,Petrol,Manual,Regularly Serviced,Mumbai,2.65,"8,802"
801,2022,Maruti,S PRESSO VXI+,12458,Petrol,Manual,Regularly Serviced,Mumbai,4.27,"8,357"
802,2018,Maruti,Dzire ZDI PLUS AMT,45589,Diesel,Automatic,Top Model,Mumbai,7.21,"14,096"
803,2016,Maruti,Swift Dzire VXI,49757,Petrol,Manual,City Driven,Mumbai,4.79,"9,365"
804,2015,Honda,Jazz 1.2L I-VTEC V AT,12854,Petrol,Automatic,Alloy Wheels,Mumbai,5.25,"10,264"
805,2014,Hyundai,Elite i20 SPORTZ 1.2,60620,Petrol,Manual,100% Tyre Life,Mumbai,4.66,"10,366"
806,2017,Volkswagen,Ameo HIGHLINE PLUS 1.5L AT 16 ALLOY,102724,Diesel,Automatic,Top Model,Mumbai,5.05,"11,233"
807,2013,Hyundai,i20 MAGNA (O) 1.2,52084,CNG,Manual,City Driven,Mumbai,3.58,"16,852"
808,2013,Hyundai,Grand i10 ASTA (O) 1.2 KAPPA VTVT,51855,Petrol,Manual,100% Tyre Life,Mumbai,3.51,"9,243"
809,2015,Hyundai,Grand i10 ASTA 1.2 KAPPA VTVT,23538,Petrol,Manual,Top Model,Mumbai,4.37,"8,543"
810,2022,Maruti,S PRESSO VXI+,10815,Petrol,Manual,Top Model,Mumbai,5.30,"10,362"
811,2016,Volkswagen,Vento COMFORTLINE 1.2 TSI AT,67370,Petrol,Automatic,Regularly Serviced,Mumbai,5.93,"11,593"
812,2018,Maruti,Baleno ALPHA CVT PETROL 1.2,88152,Petrol,Automatic,Top Model,Mumbai,6.04,"11,812"
813,2018,Hyundai,Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT,65001,Petrol,Automatic,Alloy Wheels,Mumbai,5.81,"11,359"
814,2018,Volkswagen,Ameo HIGHLINE PLUS 1.5L AT 16 ALLOY,85697,Diesel,Automatic,Top Model,Mumbai,6.35,"12,414"
815,2016,Maruti,Baleno DELTA CVT PETROL 1.2,48814,Petrol,Automatic,Regularly Serviced,Mumbai,5.42,"10,596"
816,2022,Tata,Tiago XZ PLUS CNG,6461,CNG,Manual,Regularly Serviced,Mumbai,6.84,"13,378"
817,2016,Hyundai,Elite i20 SPORTZ 1.2,53377,Petrol,Manual,Regularly Serviced,Mumbai,5.32,"10,401"
818,2021,Maruti,Ciaz ALPHA  AT 1.5 SHVS PETROL,8065,Petrol,Automatic,Top Model,Mumbai,9.71,"18,474"
819,2020,Ford,Ecosport TITANIUM 1.5 SPORTS(SUNROOF) PETROL,24960,Petrol,Manual,Regularly Serviced,Mumbai,9.79,"18,634"
820,2018,Hyundai,Grand i10 MAGNA AT 1.2 KAPPA VTVT,41160,Petrol,Automatic,Regularly Serviced,Mumbai,4.94,"9,658"
821,2015,Honda,Jazz 1.2L I-VTEC V AT,33907,Petrol,Automatic,Alloy Wheels,Mumbai,5.22,"10,205"
822,2017,Maruti,Baleno DELTA CVT PETROL 1.2,59086,Petrol,Automatic,Regularly Serviced,Mumbai,5.79,"11,320"
823,2019,Maruti,S Cross ZETA 1.3,50117,Diesel,Manual,Alloy Wheels,Mumbai,8.88,"16,902"
824,2019,Hyundai,NEW SANTRO MAGNA,16445,Petrol,Manual,Less Driven,Mumbai,4.72,"9,228"
825,2019,Maruti,IGNIS DELTA 1.2,16694,Petrol,Manual,Regularly Serviced,Mumbai,4.98,"9,736"
826,2019,MG,HECTOR SHARP 1.5 DCT PETROL,18601,Petrol,Automatic,Top Model,Mumbai,14.86,"28,285"
827,2017,Maruti,Dzire ZDI PLUS,92625,Diesel,Manual,Top Model,Mumbai,6.67,"13,040"
828,2021,Tata,Tiago XZA PLUS DUAL TONE PETROL,34270,Petrol,Automatic,Alloy Wheels,Mumbai,6.50,"12,708"
829,2017,Honda,WR-V 1.2L I-VTEC VX MT,37590,Petrol,Manual,Top Model,Mumbai,6.71,"13,118"
830,2020,Maruti,Baleno DELTA PETROL 1.2,15986,Petrol,Manual,Regularly Serviced,Mumbai,6.32,"12,356"
831,2017,Maruti,Baleno ZETA CVT PETROL 1.2,86552,Petrol,Automatic,Alloy Wheels,Mumbai,5.83,"11,398"
832,2022,Hyundai,GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT CNG,11942,CNG,Manual,Alloy Wheels,Mumbai,7.41,"14,487"
833,2019,Maruti,IGNIS ALPHA 1.2,22343,Petrol,Manual,Top Model,Mumbai,5.81,"11,359"
834,2015,Honda,City 1.5L I-VTEC SV,61177,Petrol,Manual,Safety Specs.,Mumbai,5.20,"10,166"
835,2019,Hyundai,Creta SX 1.6 PETROL,70430,Petrol,Manual,Top Model,Mumbai,9.13,"17,378"
836,2021,Tata,Tiago XZA PLUS PETROL,42450,Petrol,Automatic,Alloy Wheels,Mumbai,5.98,"11,691"
837,2020,Honda,Amaze 1.5L I-DTEC VX CVT,46461,Diesel,Automatic,Top Model,Mumbai,9.16,"17,435"
838,2022,Tata,Tiago XZA PLUS PETROL,4119,Petrol,Automatic,Alloy Wheels,Mumbai,7.02,"13,724"
839,2017,Maruti,Baleno ZETA CVT PETROL 1.2,48841,Petrol,Automatic,Alloy Wheels,Mumbai,5.67,"11,085"
