,Year,Brand,Model,Driven_Kms,Fuel_Type,Transmission_Type,Features,City,Price(L),EMI(month)
3956,2017,Maruti,Ciaz ZETA 1.4  AT PETROL,92842,Petrol,Automatic,Alloy Wheels,Gurgaon,6.22,"12,160"
3957,2011,Maruti,Ritz VXI,106610,Petrol,Manual,100% Tyre Life,Gurgaon,1.64,"7,720"
3958,2020,Maruti,Baleno DELTA PETROL 1.2,35636,Petrol,Manual,Safety Specs.,Gurgaon,6.29,"12,297"
3959,2012,Maruti,Swift Dzire VXI,22466,Petrol,Manual,Regularly Serviced,Gurgaon,2.91,"9,665"
3960,2018,Hyundai,Xcent S 1.2,34815,Petrol,Manual,100% Tyre Life,Gurgaon,5.32,"10,401"
3961,2018,Hyundai,Elite i20 SPORTZ 1.2,43546,Petrol,Manual,Safety Specs.,Gurgaon,5.66,"11,065"
3962,2020,Maruti,Baleno ZETA PETROL 1.2,57169,Petrol,Manual,Alloy Wheels,Gurgaon,6.77,"13,235"
3963,2017,Maruti,Baleno ZETA PETROL 1.2,54948,Petrol,Manual,Alloy Wheels,Gurgaon,5.28,"10,323"
3964,2022,Maruti,New Wagon-R LXI 1.0,13984,Petrol,Manual,Regularly Serviced,Gurgaon,5.32,"10,401"
3965,2021,Skoda,Rapid STYLE TSI,13471,Petrol,Manual,Top Model,Gurgaon,10.69,"20,347"
3966,2020,Honda,Amaze 1.2L I-VTEC V CVT,21859,Petrol,Automatic,Alloy Wheels,Gurgaon,8.02,"15,265"
3967,2012,Maruti,Swift Dzire VXI,70739,Petrol,Manual,100% Tyre Life,Gurgaon,2.94,"9,765"
3968,2018,Maruti,Baleno DELTA CVT PETROL 1.2,49333,Petrol,Automatic,Safety Specs.,Gurgaon,6.00,"11,730"
3969,2019,Maruti,Ciaz SIGMA 1.5 SHVS MT  PETROL,16059,Petrol,Manual,Regularly Serviced,Gurgaon,7.95,"15,542"
3970,2020,Maruti,Baleno ALPHA PETROL 1.2,4127,Petrol,Manual,Top Model,Gurgaon,7.44,"14,545"
3971,2011,Toyota,Etios G SP,88354,Petrol,Manual,goodClearance,Gurgaon,2.08,"9,791"
3972,2019,Tata,NEXON XMA DIESEL,61857,Diesel,Automatic,Regularly Serviced,Gurgaon,7.45,"16,572"
3973,2022,Renault,Kwid RXT 1.0 AMT,12028,Petrol,Automatic,Regularly Serviced,Gurgaon,5.00,"9,775"
3974,2021,Honda,Amaze 1.5L I-DTEC VX CVT,49813,Diesel,Automatic,Top Model,Gurgaon,8.50,"16,179"
3975,2022,Renault,Kwid RXT 1.0 (O),7162,Petrol,Manual,Top Model,Gurgaon,4.94,"9,658"
3976,2012,Maruti,Ertiga LXI,52584,Petrol,Manual,100% Tyre Life,Gurgaon,4.20,"13,950"
3977,2021,Maruti,Baleno DELTA PETROL 1.2,33717,Petrol,Manual,Safety Specs.,Gurgaon,6.63,"12,962"
3978,2022,Renault,Kwid RXT 1.0,15260,Petrol,Manual,Regularly Serviced,Gurgaon,4.79,"9,365"
3979,2015,Volkswagen,Vento HIGHLINE 1.6 MPI,98990,Petrol,Manual,Top Model,Gurgaon,5.97,"11,671"
3980,2021,Datsun,Redi Go T,36052,Petrol,Manual,Regularly Serviced,Gurgaon,3.98,"7,785"
3981,2020,Hyundai,AURA SX+ 1.0 TURBO GDI MT,63013,Petrol,Manual,Top Model,Gurgaon,7.25,"14,184"
3982,2013,Maruti,Swift VXI,99639,Petrol,Manual,City Driven,Gurgaon,3.28,"8,637"
3983,2017,Honda,Amaze 1.2L I-VTEC S,33373,Petrol,Manual,Regularly Serviced,Gurgaon,5.26,"10,283"
3984,2017,Hyundai,Elite i20 SPORTZ 1.2,24686,Petrol,Manual,Spl. Reg. No.,Gurgaon,5.87,"11,476"
3985,2017,Hyundai,Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT,68719,Petrol,Automatic,Regularly Serviced,Gurgaon,5.34,"10,440"
3986,2021,Maruti,S PRESSO VXI (O) CNG,22442,CNG,Manual,Regularly Serviced,Gurgaon,5.25,"10,264"
3987,2012,Maruti,Swift Dzire VXI,61878,Petrol,Manual,100% Tyre Life,Gurgaon,2.90,"9,632"
3988,2012,Maruti,Ritz ZXI,66554,Petrol,Manual,100% Tyre Life,Gurgaon,2.43,"8,071"
3989,2012,Maruti,Swift Dzire VXI,58586,Petrol,Manual,Spl. Reg. No.,Gurgaon,3.13,"10,396"
3990,2012,Maruti,Swift Dzire VXI,21338,Petrol,Manual,Regularly Serviced,Gurgaon,3.24,"10,761"
3991,2011,Toyota,Etios G,73320,Petrol,Manual,City Driven,Gurgaon,2.56,"12,051"
3992,2016,Maruti,Ciaz VXI+,32891,Petrol,Manual,Safety Specs.,Gurgaon,5.73,"11,202"
3993,2023,Nissan,MAGNITE XE,2621,Petrol,Manual,Regularly Serviced,Gurgaon,5.64,"11,034"
3994,2022,Volkswagen,VIRTUS GT PLUS TSI 1.5 EVO DSG,19507,Petrol,Automatic,Sunroof,Gurgaon,14.69,"27,961"
3995,2020,Maruti,Vitara Brezza VXI,46380,Petrol,Manual,Safety Specs.,Gurgaon,6.58,"12,864"
3996,2022,Volkswagen,VIRTUS COMFORTLINE TSI 1.0 MT,26431,Petrol,Manual,Regularly Serviced,Gurgaon,9.47,"18,025"
3997,2014,Volkswagen,Polo HIGHLINE1.2L,53678,Petrol,Manual,Top Model,Gurgaon,3.79,"8,431"
3998,2020,Hyundai,Verna SX (O) 1.5 VTVT IVT,24347,Petrol,Automatic,Regularly Serviced,Gurgaon,11.20,"21,315"
3999,2022,Hyundai,AURA SX 1.2 CNG,19628,CNG,Manual,Alloy Wheels,Gurgaon,7.57,"14,799"
4000,2017,Volkswagen,Polo COMFORTLINE 1.2L,57238,Petrol,Manual,Regularly Serviced,Gurgaon,4.69,"9,165"
4001,2013,Maruti,Alto 800 LXI,58409,Petrol,Manual,Low Run Cost,Gurgaon,1.90,"5,003"
4002,2019,Honda,City 1.5L I-VTEC ZX,33671,Petrol,Manual,Top Model,Gurgaon,9.19,"17,492"
4003,2020,Honda,City 1.5L I-VTEC ZX,45296,Petrol,Manual,Top Model,Gurgaon,10.75,"20,462"
4004,2016,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,29811,Petrol,Manual,City Driven,Gurgaon,3.61,"7,058"
4005,2020,Tata,Harrier XZA PLUS 2.0L DUAL TONE,48760,Diesel,Automatic,Top Model,Gurgaon,15.96,"30,378"
4006,2014,Volkswagen,Polo HIGHLINE1.2L,102172,Petrol,Manual,Top Model,Gurgaon,3.60,"8,008"
4007,2022,Tata,Safari XMA,20858,Diesel,Automatic,Spl. Reg. No.,Gurgaon,18.02,"34,299"
4008,2019,Tata,Tiago XZ PLUS DUAL TONE PETROL,57823,Petrol,Manual,Alloy Wheels,Gurgaon,4.17,"8,152"
4009,2021,Honda,City 1.5L I-VTEC ZX,28155,Petrol,Manual,Top Model,Gurgaon,11.55,"21,984"
4010,2019,Mahindra,Scorpio S9,50239,Diesel,Manual,Regularly Serviced,Gurgaon,11.88,"25,830"
4011,2016,Maruti,Baleno ZETA CVT PETROL 1.2,46961,Petrol,Automatic,Alloy Wheels,Gurgaon,5.09,"9,951"
4012,2021,KIA,SELTOS HTX PLUS 1.5 DIESEL,45515,Diesel,Manual,Spl. Reg. No.,Gurgaon,13.40,"25,512"
4013,2015,Honda,Amaze 1.2L I-VTEC S,24184,Petrol,Manual,Regularly Serviced,Gurgaon,3.53,"6,901"
4014,2022,Tata,ALTROZ XZA PLUS DARK EDTION,25132,Petrol,Automatic,Top Model,Gurgaon,8.39,"15,970"
4015,2018,Tata,Tiago XZ PETROL,48146,Petrol,Manual,Alloy Wheels,Gurgaon,3.94,"7,703"
4016,2015,Hyundai,Creta SX PLUS 1.6 PETROL,65142,Petrol,Manual,Top Model,Gurgaon,7.01,"13,709"
4017,2021,Renault,Kwid RXT 0.8,23561,Petrol,Manual,Top Model,Gurgaon,3.72,"7,273"
4018,2014,Maruti,Wagon R 1.0 VXI,72025,Petrol,Manual,Top Model,Gurgaon,2.82,"6,273"
4019,2020,KIA,CARNIVAL PREMIUM 2.2 7 STR,66619,Diesel,Automatic,Alloy Wheels,Gurgaon,19.16,"36,475"
4020,2011,Hyundai,i20 MAGNA (O) 1.2,41576,Petrol,Manual,City Driven,Gurgaon,1.96,"9,226"
4021,2019,Hyundai,Creta SX AT 1.6 PETROL,27048,Petrol,Automatic,Top Model,Gurgaon,11.39,"21,680"
4022,2016,Hyundai,Creta SX PLUS 1.6 PETROL,33387,Petrol,Manual,Top Model,Gurgaon,7.94,"15,526"
4023,2012,Honda,Brio V MT,56896,Petrol,Manual,Alloy Wheels,Gurgaon,2.01,"6,676"
4024,2022,Hyundai,AURA S 1.2 CNG,36335,CNG,Manual,Regularly Serviced,Gurgaon,7.17,"14,017"
4025,2022,Honda,City 1.5L I-VTE V CVT,16294,Petrol,Automatic,Alloy Wheels,Gurgaon,11.85,"22,555"
4026,2021,Hyundai,VENUE SX PLUS 1.0 TURBO DCT,28627,Petrol,Automatic,Top Model,Gurgaon,10.34,"19,681"
4027,2018,Maruti,Ciaz ALPHA  AT 1.5 SHVS PETROL,85285,Petrol,Automatic,Regularly Serviced,Gurgaon,6.57,"12,844"
4028,2022,Hyundai,VENUE SX PLUS 1.0 TURBO DCT,1256,Petrol,Automatic,Spl. Reg. No.,Gurgaon,10.81,"20,576"
4029,2018,Honda,Amaze 1.2L I-VTEC S,49061,Petrol,Manual,100% Tyre Life,Gurgaon,5.15,"10,068"
